scenario,car_id,arrival_time,wait_time,departure_time
Early Merge,1,0.9385361799537182,0.1708854288397339,2.773416664477754
Early Merge,2,6.958779041788761,0.3688154282642957,9.174045209485257
Early Merge,3,9.59227042887966,0.030111649282838826,11.480996572822235
Early Merge,4,11.418155536431566,0.3800510585970418,13.455336311423334
Early Merge,5,11.75740527735626,1.7429669886804788,15.67352716826569
Early Merge,6,12.096597861185469,3.6126723468733246,17.60403679224115
Early Merge,7,12.21627539840283,5.4236503251503105,19.20166502411261
Early Merge,8,16.23873712736271,3.299948553262702,21.46999640235218
Early Merge,9,18.07690143461724,3.6119376955381313,23.293902796109908
Early Merge,10,20.539401558026423,2.9025764293526954,25.399394908127608
Early Merge,11,20.5810001740247,4.90728701443852,27.5200063042647
Early Merge,12,27.588115124341325,0.419440533458868,29.64341919412985
Early Merge,13,31.160974211050675,0.09966254993948809,33.25331198683903
Early Merge,14,31.638349461548568,1.9541790578600775,35.47508470479595
Early Merge,15,32.039707439047895,3.5510322419708302,37.55515171301762
Early Merge,16,32.444930284712406,5.204845341468761,39.82913422271196
Early Merge,17,33.17043774363336,6.7829286910585225,41.7042888114913
Early Merge,18,34.65829340535507,7.117724461222366,43.425270633705935
Early Merge,19,35.78936753891574,7.911258557377579,45.32272321036822
Early Merge,20,36.477813524023624,8.984630249483715,47.09928171651425
Early Merge,21,38.37055527182322,8.781574950890437,48.93670988083084
Early Merge,22,38.6710243292779,10.725353521463056,51.26460824570428
Early Merge,23,39.362055353282706,11.999419240893317,53.216812754042024
Early Merge,24,40.2746097897244,13.099059440753173,55.33910588028478
Early Merge,25,41.49247916544395,14.320525836582746,57.61560538040228
Early Merge,26,44.568351187505776,13.24301405366797,59.902072056605206
Early Merge,27,45.01382291176316,14.913112068013604,61.674003613129166
Early Merge,28,46.45788122182941,15.778245728086198,64.58016078323354
Early Merge,29,48.252890664448934,16.524885504571564,66.7029096385735
Early Merge,30,48.34801836396175,18.436456537722016,68.4130433904005
Early Merge,31,50.21868440526097,18.22435434926281,70.02886025491156
Early Merge,32,50.5926069092158,19.75225362483181,72.24135501709625
Early Merge,33,50.72713477097441,21.707775347634417,74.19021756154366
Early Merge,34,56.67451035798827,17.668189975165205,76.2855004319719
Early Merge,35,63.41577104291061,13.318390055168571,78.62880862299389
Early Merge,36,66.72043418853637,12.219172437196733,80.72504084320173
Early Merge,37,67.44700990847389,13.3109291987531,82.3885803636133
Early Merge,38,67.6525645384789,14.810728335413557,83.96032342895528
Early Merge,39,69.95806606467622,14.05939128798883,85.72815436225164
Early Merge,40,71.11824774984701,14.882380224778316,87.97190773349003
Early Merge,41,71.37855221775591,16.600177023705683,89.82154799028764
Early Merge,42,72.74564667402421,17.24464402754066,91.54114294582247
Early Merge,43,72.81563411691117,19.01299157208325,93.66326187416466
Early Merge,44,77.61647989169722,16.46551545134463,95.95905881898761
Early Merge,45,78.21539544537859,17.827398292318037,97.6660222504564
Early Merge,46,80.38790704250854,17.622476800656045,99.84112886435369
Early Merge,47,81.13500020582379,18.729577435549658,101.67621938506264
Early Merge,48,82.60322199764224,19.447746178862744,103.62237411693886
Early Merge,49,84.18566959360584,19.463980449438637,105.52120751511413
Early Merge,50,84.59444679262165,21.028023648734447,107.53462734662975
Early Merge,51,91.5800610580941,16.27376736120094,109.8704386679301
Early Merge,52,94.56455181237038,15.338371213543809,111.91368343632118
Early Merge,53,100.17474065095355,11.791021389856581,113.49022816721872
Early Merge,54,104.67904464602195,9.067392140725744,115.35887177876467
Early Merge,55,106.5011534707885,9.112337542374505,117.51649806660473
Early Merge,56,111.6000242293273,6.121442679024895,119.62422409853464
Early Merge,57,111.78533514723354,8.075689293118629,121.76403397761338
Early Merge,58,112.22160453649607,9.698923261356441,124.49107409598346
Early Merge,59,112.31416846786973,12.23492236796561,126.46326893797398
Early Merge,60,113.1012326414759,13.446872935256735,128.57521870476876
Early Merge,61,114.08549322506434,14.52980573460772,130.6060993123707
Early Merge,62,114.718614111482,16.365660428753444,133.0145527904966
Early Merge,63,118.24772984196386,14.941944759460057,134.92662075249584
Early Merge,64,119.1301838410236,15.898886043368051,136.9808637284903
Early Merge,65,119.7897895212921,17.315055708462452,138.75028018684702
Early Merge,66,121.35460368770758,17.984241246538872,141.09148121289846
Early Merge,67,121.65839998334884,19.466375139575305,142.82770241335834
Early Merge,68,124.8993671748983,18.10482416028175,144.82056616305732
Early Merge,69,125.05431891252093,19.90724613869503,147.22449676455065
Early Merge,70,133.72261159169557,13.690954036455707,148.84011258963292
Early Merge,71,136.68157914417858,12.162188681535639,150.78101986378914
Early Merge,72,137.12465802519037,14.067700543106895,152.66981539405933
Early Merge,73,137.13573286594223,16.07208023545536,154.9134267282397
Early Merge,74,140.51552642091448,14.564443400113902,157.09775994042187
Early Merge,75,142.96971823568856,14.366615852838493,159.14919009234615
Early Merge,76,145.58104405326455,14.079639910650712,161.2451350083294
Early Merge,77,148.53147310535158,12.95934139365633,163.14775375715593
Early Merge,78,148.68533163637917,14.495524222601574,165.1167754087677
Early Merge,79,149.57311698121163,15.715398857526566,166.94244251239476
Early Merge,80,149.81941719042052,17.30966949338105,168.97237840171798
Early Merge,81,153.79647633373696,15.286276968765577,170.8918676704833
Early Merge,82,155.74907871716172,15.40948701409826,172.82824566173883
Early Merge,83,156.5527163196643,16.820264719227026,175.6017698567564
Early Merge,84,156.68405245127389,19.43729264809332,178.04812890383081
Early Merge,85,157.42902915209459,20.73897261099694,179.56297324576
Early Merge,86,158.21565757846284,21.371351408207516,181.42429984962425
